model,experiment,year,nbp_global_mean
JSBACH,S1,1701,-1.3198707530919184e-10
JSBACH,S1,1702,1.5155812466632825e-10
JSBACH,S1,1703,2.2874728128053754e-10
JSBACH,S1,1704,-3.7627248536598585e-10
JSBACH,S1,1705,-1.734461323541879e-10
JSBACH,S1,1706,2.314711436935413e-10
JSBACH,S1,1707,-2.4365327567719906e-10
JSBACH,S1,1708,-1.6523487343607005e-10
JSBACH,S1,1709,-3.7887581732441624e-11
JSBACH,S1,1710,2.105654243939395e-10
JSBACH,S1,1711,-2.733277624182075e-10
JSBACH,S1,1712,9.109065433014816e-11
JSBACH,S1,1713,-1.0730598400188188e-10
JSBACH,S1,1714,1.66017003159527e-10
JSBACH,S1,1715,6.169326462398957e-11
JSBACH,S1,1716,2.52233824319784e-11
JSBACH,S1,1717,4.5585592654591284e-10
JSBACH,S1,1718,-1.342975559002321e-10
JSBACH,S1,1719,1.5579629843548918e-10
JSBACH,S1,1720,2.5654218333301967e-11
JSBACH,S1,1721,-3.6004255940041127e-10
JSBACH,S1,1722,1.363125742670839e-10
JSBACH,S1,1723,2.3026943791513468e-10
JSBACH,S1,1724,-3.7071694623312066e-10
JSBACH,S1,1725,-1.6626784161957547e-10
JSBACH,S1,1726,2.4452438964897884e-10
JSBACH,S1,1727,-2.3052445844454702e-10
JSBACH,S1,1728,-1.511747929749605e-10
JSBACH,S1,1729,-2.4480424828465642e-11
JSBACH,S1,1730,2.2499661628378332e-10
JSBACH,S1,1731,-2.619486823246926e-10
JSBACH,S1,1732,1.0509735321552223e-10
JSBACH,S1,1733,-1.0077506730293999e-10
JSBACH,S1,1734,1.7309387408285984e-10
JSBACH,S1,1735,6.868016898456943e-11
JSBACH,S1,1736,2.7311611560294068e-11
JSBACH,S1,1737,4.5641430561010694e-10
JSBACH,S1,1738,-1.3346063618633298e-10
JSBACH,S1,1739,1.5255516826483512e-10
JSBACH,S1,1740,1.8533612805812186e-11
JSBACH,S1,1741,-3.688076209265536e-10
JSBACH,S1,1742,1.2573865527901852e-10
JSBACH,S1,1743,2.1773628564184512e-10
JSBACH,S1,1744,-3.829549299855371e-10
JSBACH,S1,1745,-1.8215385851351104e-10
JSBACH,S1,1746,2.277331442825589e-10
JSBACH,S1,1747,-2.488727568811722e-10
JSBACH,S1,1748,-1.7032178249117483e-10
JSBACH,S1,1749,-4.278442748656596e-11
JSBACH,S1,1750,2.052028967964151e-10
JSBACH,S1,1751,-2.820190573658767e-10
JSBACH,S1,1752,8.320822382996504e-11
JSBACH,S1,1753,-1.1725681501979122e-10
JSBACH,S1,1754,1.5693910098228618e-10
JSBACH,S1,1755,5.31314526946577e-11
JSBACH,S1,1756,1.4109999878316029e-11
JSBACH,S1,1757,4.4376388321010354e-10
JSBACH,S1,1758,-1.4211117495496423e-10
JSBACH,S1,1759,1.4563015206370547e-10
JSBACH,S1,1760,1.506851885077457e-11
JSBACH,S1,1761,-3.701738645535006e-10
JSBACH,S1,1762,1.253455337365933e-10
JSBACH,S1,1763,2.1832052530574742e-10
JSBACH,S1,1764,-3.788906389747485e-10
JSBACH,S1,1765,-1.7593631460511635e-10
JSBACH,S1,1766,2.3683451224070746e-10
JSBACH,S1,1767,-2.36882225571851e-10
JSBACH,S1,1768,-1.5563738829823874e-10
JSBACH,S1,1769,-2.5420039636213002e-11
JSBACH,S1,1770,2.2495782782614915e-10
JSBACH,S1,1771,-2.609536562245483e-10
JSBACH,S1,1772,1.0924675922821576e-10
JSBACH,S1,1773,-9.0471244455525e-11
JSBACH,S1,1774,1.875856486018848e-10
JSBACH,S1,1775,8.504056639723365e-11
JSBACH,S1,1776,4.760901406041352e-11
JSBACH,S1,1777,4.790662860840732e-10
JSBACH,S1,1778,-1.053664880512637e-10
JSBACH,S1,1779,1.8559588598283145e-10
JSBACH,S1,1780,5.654485206784043e-11
JSBACH,S1,1781,-3.3192603571186386e-10
JSBACH,S1,1782,1.700690494185505e-10
JSBACH,S1,1783,2.654124124742594e-10
JSBACH,S1,1784,-3.3245062022968406e-10
JSBACH,S1,1785,-1.2811689873932883e-10
JSBACH,S1,1786,2.9169314914050586e-10
JSBACH,S1,1787,-1.8557315262016997e-10
JSBACH,S1,1788,-1.024452491378081e-10
JSBACH,S1,1789,2.6253577813131082e-11
JSBACH,S1,1790,2.823070258069562e-10
JSBACH,S1,1791,-2.0851738460044501e-10
JSBACH,S1,1792,1.7149496486274513e-10
JSBACH,S1,1793,-3.51242603245551e-11
JSBACH,S1,1794,2.470240384804413e-10
JSBACH,S1,1795,1.459783741122018e-10
JSBACH,S1,1796,1.0794962424520058e-10
JSBACH,S1,1797,5.361578013859189e-10
JSBACH,S1,1798,-5.207037539088246e-11
JSBACH,S1,1799,2.405856606659317e-10
JSBACH,S1,1800,6.882431591089005e-11
JSBACH,S1,1801,-2.5984309167531543e-10
JSBACH,S1,1802,2.2533908768578633e-10
JSBACH,S1,1803,3.173323764244179e-10
JSBACH,S1,1804,-3.0093087446088993e-10
JSBACH,S1,1805,-6.260189605208843e-11
